State	Organization	URL	LH_Perf	LH_A11y	LH_BP	LH_SEO	axe_violations	AuditStatus	Facebook	Instagram	YouTube	LinkedIn
Massachusetts	Kestrel Land Trust	https://www.kestreltrust.org	56.0	85.0	100.0	85.0	5	OK	https://www.facebook.com/KestrelTrust/	https://www.instagram.com/kestrel_land_trust/		
Massachusetts	Lowell Parks and Conservation Trust	https://lowelllandtrust.org	56.0	80.0	89.0	92.0	10	OK				
Massachusetts	Massachusetts Audubon Society	https://www.massaudubon.org	49.0	83.0	79.0	91.0	8	OK	https://www.facebook.com/MassAudubon	https://www.instagram.com/massaudubon	https://www.youtube.com/user/massaudubon	https://www.linkedin.com/company/mass-audubon/
Massachusetts	Mount Grace Land Conservation Trust	https://www.mountgrace.org	65.0	93.0	100.0	92.0	5	OK	https://www.facebook.com/MountGraceLCT	https://www.instagram.com/mountgracelct/	https://www.youtube.com/channel/UC6cSuMUawRgTkLKgFbKQwwA/videos	
Massachusetts	Sheriff’s Meadow Foundation	https://sheriffsmeadow.org	47.0	79.0	79.0	85.0	7	OK	https://www.facebook.com/Sheriffs-Meadow-Foundation-397399089438/	https://www.instagram.com/sheriffsmeadow/		
Massachusetts	Sudbury Valley Trustees	https://www.svtweb.org	55.0	85.0	96.0	85.0	5	OK	https://www.facebook.com/pages/Sudbury-Valley-Trustees/96339149067	https://instagram.com/sudbury_valley_trustees/	https://www.youtube.com/user/SVTSightings	
Massachusetts	The Trustees of Reservations	https://thetrustees.org	49.0	70.0	96.0	85.0	8	OK	https://www.facebook.com/thetrustees 	https://www.instagram.com/thetrustees/ 	https://www.youtube.com/@TheTrustees 	
Massachusetts	Wareham Land Trust	https://warehamlandtrust.org	63.0	96.0	100.0	83.0	3	OK	https://www.facebook.com/warehamlandtrust/	https://www.instagram.com/warehamlandtrust/	https://www.youtube.com/channel/UCzEkVF4b6Fz1Gd8Hq6SAcqA	
Michigan	Chikaming Open Lands	https://chikamingopenlands.org	67.0	59.0	68.0	92.0	6	OK	https://www.facebook.com/ChikamingOpenLands	https://www.instagram.com/chikamingopenlands	https://www.youtube.com/channel/UCANWsNmtTCh8bHproUHqUDw	
Michigan	Chippewa Watershed Conservancy	https://www.chippewawatershedconservancy.org	54.0	82.0	82.0	92.0	4	OK				
Michigan	Grand Traverse Regional Land Conservancy	https://www.gtrlc.org	56.0	86.0	96.0	69.0	8	OK	https://www.facebook.com/GTRLC	https://www.instagram.com/gtrlc/?hl=en	https://www.youtube.com/user/protectlandforever	
Michigan	Keweenaw Land Trust	https://www.keweenawlandtrust.org	52.0	92.0	100.0	92.0	3	OK				
Michigan	Land Conservancy of West Michigan	https://naturenearby.org	55.0	83.0	100.0	77.0	9	OK	https://www.facebook.com/landconservancy/	https://scontent-ord5-3.cdninstagram.com/v/t51.82787-15/528364060_18474273031074632_2856269329014780878_n.jpg?stp=dst-jpg_e35_tt6&_nc_cat=110&ccb=1-7&_nc_sid=18de74&_nc_ohc=vshiEwllFS0Q7kNvwFR-nhK&_nc_oc=Adn09hEdAZ-011jiBUtid4rRTc7ULYRSv-7ke9UP12jbefzEotkvdw_AwD7r2g2EtyA&_nc_zt=23&_nc_ht=scontent-ord5-3.cdninstagram.com&edm=ANo9K5cEAAAA&_nc_gid=Q6pom4d4Jqpx5CtzUixSKQ&oh=00_AfZBeZeBcHfDyKz-cslEX_XHdVrlcu853XnDLr9vROND5w&oe=68C63A1A	https://www.youtube.com/user/landconservancy/	
Michigan	Leelanau Conservancy	https://leelanauconservancy.org	57.0	95.0	96.0	92.0	2	OK	https://www.facebook.com/LeelanauConservancy	https://www.instagram.com/leelanauconservancy/	https://www.youtube.com/user/LeelanauConservancy/videos	
Michigan	Legacy Land Conservancy	https://legacylandconservancy.org	63.0	88.0	75.0	77.0	2	OK	https://www.facebook.com/legacylandconservancy?ref=hl	https://instagram.com/legacylandconservancy	https://www.youtube.com/channel/UCBVN7eNG9AzGLKqsFPzXNeg	
Michigan	Little Forks Conservancy	https://littleforks.org	47.0	95.0	79.0	92.0	4	OK				
